Order ID,Order Date,Customer Name,Region,Product Category,Product Name,Sales Amount,Quantity,Profit,Discount,Payment Mode
ORD-2023-00941,2024-02-29,Raymond Martin,,Clothing,Formal Trousers,117.85,2,65.27,0.1,Cash
ORD-2023-00248,2023-11-10,Katherine Roberts,Central,Home & Kitchen,Vacuum Cleaner Cordless,860.7,2,311.26,0.0,Mobile Payment
ORD-2024-00944,2023-11-16,Dorothy Jimenez,Central,Furniture,Filing Cabinet 3-Drawer,521.26,2,166.59,0.05,Credit Card
ORD-2022-01945,2024-11-09,Michael Howard,Central,Electronics,Tablet 10 inch,454.49,1,136.62,0.1,Debit Card
ORD-2023-01166,2023-03-15,Heather Morris,East,Sports,Yoga Mat Premium,58.28,1,21.53,0.05,Credit Card
ORD-2022-00077,2021-12-09,Helen Morgan,South,Home & Kitchen,Robot Vacuum,878.29,2,309.46,0.1,Credit Card
ORD-2024-01670,2023-05-11,Sharon Morgan,South,Sports,Dumbbells Set 20kg,188.34,1,89.1,0.0,Online Transfer
ORD-2023-01842,2022-09-09,Susan Peterson,South,Clothing,Winter Jacket,111.29,1,59.65,0.1,Credit Card
ORD-2022-01582,2024-12-11,Karen Robinson,South,Electronics,Laptop - 15 inch,833.87,1,19.4,0.3,Credit Card
ORD-2024-02102,2024-06-11,Susan Walker,South,Sports,Yoga Mat Premium,104.36,2,41.68,0.15,Credit Card
ORD-2024-00332,2023-04-20,Sarah Rogers,West,Clothing,Denim Jeans,132.94,2,72.76,0.0,Mobile Payment
ORD-2024-00490,2022-03-20,Jennifer Evans,East,Home & Kitchen,Blender 1000W,131.53,1,,0.0,Online Transfer
ORD-2022-00046,2023-03-09,Andrew Garcia,West,Clothing,Denim Jeans,71.11,1,40.22,0.05,Debit Card
ORD-2023-01679,2024-11-12,Matthew Torres,East,Sports,Foam Roller,136.26,3,58.6,0.05,Debit Card
ORD-2024-00147,2021-04-25,Sarah Gonzales,South,Furniture,Conference Table,936.89,1,373.94,0.0,Debit Card
ORD-2023-01415,2023-09-08,Laura Cruz,East,Home & Kitchen,Robot Vacuum,943.53,2,172.03,0.15,Debit Card
ORD-2022-00982,2021-08-28,Virginia Ramos,South,Sports,Foam Roller,71.14,2,20.25,0.1,Credit Card
ORD-2022-01249,2024-09-06,Kenneth Gonzales,West,Furniture,Coffee Table,214.26,1,70.95,0.0,Debit Card
ORD-2024-00992,2022-07-01,Janet Foster,Central,Furniture,Filing Cabinet 3-Drawer,501.3,2,155.65,0.15,Debit Card
ORD-2021-01324,2022-09-13,Catherine Young,West,Home & Kitchen,Weighted Blanket,153.03,2,,0.05,Mobile Payment
ORD-2023-00463,2022-09-26,Elizabeth Martin,South,Electronics,Laptop - 13 inch,2660.36,2,629.3,0.05,Online Transfer
ORD-2023-00587,2024-03-10,Gregory Rodriguez,East,Electronics,Webcam HD,86.16,1,26.07,,Debit Card
ORD-2022-01951,2022-03-21,Sharon Jackson,East,Clothing,Cotton T-Shirt,29.34,1,17.56,0.0,Mobile Payment
ORD-2024-00188,2023-01-21,Shirley Smith,Central,Furniture,Conference Table,757.16,1,254.15,0.0,Credit Card
ORD-2021-00266,2023-04-11,Catherine Smith,East,Sports,Dumbbells Set 20kg,217.7,1,65.89,0.1,Online Transfer
ORD-2023-01051,2021-01-31,Virginia Jones,South,Sports,Gym Bag,50.55,1,23.07,0.0,Cash
ORD-2021-01574,2024-05-26,Helen Martin,East,Clothing,Denim Jeans,56.3,1,24.85,0.15,Online Transfer
ORD-2023-01025,2022-01-16,William Ross,East,Clothing,Men's Formal Shirt,155.47,3,77.58,0.05,Credit Card
ORD-2024-00009,2023-06-01,Christine Sullivan,,Home & Kitchen,Electric Kettle 1.7L,45.33,1,17.02,0.1,Debit Card
ORD-2021-00498,2021-12-03,Raymond Coleman,West,Furniture,Coffee Table,199.59,1,65.44,0.0,Online Transfer
ORD-2024-01761,2023-11-03,Shirley Johnson,West,Home & Kitchen,Cookware Set 10pc,545.51,2,151.84,0.15,Cash
ORD-2023-01034,2022-01-02,Anthony Sanchez,West,Home & Kitchen,Blender 1000W,110.06,1,52.69,0.0,Cash
ORD-2024-00153,2022-05-04,Samantha Coleman,Central,Home & Kitchen,Electric Kettle 1.7L,52.28,1,22.86,0.05,Debit Card
ORD-2024-00368,2024-06-20,Emma Barnes,South,Furniture,TV Stand 60 inch,157.18,1,21.21,0.2,Debit Card
ORD-2021-01191,2021-03-11,Rachel Mitchell,Central,Sports,Fitness Tracker Band,161.14,2,61.29,0.05,Cash
ORD-2024-01439,2021-05-05,Stephanie Sullivan,South,Furniture,Desk Lamp LED,69.51,1,27.12,0.0,Online Transfer
ORD-2022-02254,2022-05-17,Maria Cooper,East,Furniture,Desk Lamp LED,164.1,3,66.77,0.05,Mobile Payment
ORD-2021-00245,2022-05-03,Ryan Patel,South,Furniture,Coffee Table,325.7,2,105.19,0.0,Online Transfer
ORD-2022-00385,2023-03-26,Tyler Jenkins,South,Sports,Resistance Bands Set,29.56,1,10.51,0.1,Credit Card
ORD-2022-01440,2023-09-17,Stephanie Green,West,Furniture,TV Stand 60 inch,219.46,1,72.01,0.0,Credit Card
ORD-2023-01518,2024-01-16,Donald Jimenez,Central,Home & Kitchen,Cookware Set 10pc,218.13,1,70.06,0.15,Mobile Payment
ORD-2022-01703,2023-01-23,Ruth White,Central,Sports,Boxing Gloves,90.42,1,44.32,0.0,Online Transfer
ORD-2022-01301,2022-03-20,Ronald Evans,South,Furniture,Office Desk - Wood,391.76,1,77.49,0.15,Debit Card
ORD-2023-02114,2022-04-23,Karen Robinson,West,Clothing,Formal Trousers,58.25,1,27.67,0.0,Online Transfer
ORD-2022-01116,2022-04-23,Jonathan Edwards,West,Furniture,Desk Lamp LED,179.2,3,46.62,0.1,Cash
ORD-2022-01496,2023-01-09,Nathan Jones,East,Furniture,Filing Cabinet 3-Drawer,455.8,2,137.61,0.1,Debit Card
ORD-2021-00791,2021-07-31,Ronald Torres,South,Home & Kitchen,Throw Pillow Set,39.14,1,8.25,0.2,Debit Card
ORD-2024-01925,2022-08-22,,South,Home & Kitchen,Air Fryer 5L,125.49,1,37.2,0.2,Debit Card
ORD-2022-01241,2024-12-05,Larry Johnson,East,Clothing,Winter Jacket,136.65,1,52.04,0.05,Online Transfer
ORD-2023-00732,2021-01-12,Ryan Cruz,East,Home & Kitchen,Electric Kettle 1.7L,44.27,1,12.66,0.05,Debit Card
ORD-2021-00780,2024-06-13,Michelle Cox,West,Electronics,USB-C Hub Adapter,135.85,2,35.92,0.05,Cash
ORD-2021-02146,2023-04-10,James Castillo,West,Electronics,Wireless Mouse,34.84,1,7.7,0.2,Online Transfer
ORD-2023-00950,2022-08-04,Dennis Wilson,West,Home & Kitchen,Vacuum Cleaner Cordless,428.11,1,129.62,0.0,Mobile Payment
ORD-2022-00493,2023-09-04,Shirley Moore,South,Sports,Dumbbells Set 20kg,442.32,2,167.22,0.05,Debit Card
ORD-2021-02166,2024-04-25,Michelle White,West,Electronics,USB-C Hub Adapter,80.22,1,23.38,0.0,Debit Card
ORD-2023-02007,2024-07-05,Diane Moore,West,Sports,Dumbbells Set 20kg,220.92,1,88.85,0.0,Mobile Payment
ORD-2024-02376,2022-05-12,Lisa Foster,West,Furniture,Bookshelf 5-Tier,233.58,1,92.21,0.05,Online Transfer
ORD-2021-02137,2021-01-13,Brenda Gutierrez,East,Sports,Swimming Goggles,54.89,2,,0.15,Credit Card
ORD-2023-00886,2024-01-17,,West,Furniture,Bookshelf 5-Tier,183.62,1,50.44,0.1,Online Transfer
ORD-2024-01779,2023-01-01,Christine Chavez,West,Clothing,Running Shoes,272.05,2,103.67,0.1,Cash
ORD-2024-01260,2024-09-08,Anthony Turner,Central,Sports,Dumbbells Set 20kg,192.16,1,85.5,0.05,Mobile Payment
ORD-2022-02325,2021-08-28,Margaret Ross,Central,Home & Kitchen,Blender 1000W,268.52,2,106.34,0.0,Cash
ORD-2022-00789,2024-10-06,Dennis Wilson,East,Home & Kitchen,Toaster 4-Slice,57.98,1,26.05,0.0,Credit Card
ORD-2024-02016,2024-06-29,Daniel Jenkins,South,Sports,Yoga Mat Premium,60.29,1,19.91,0.05,Credit Card
ORD-2022-01716,2022-04-14,Larry Johnson,South,Sports,Gym Bag,75.5,2,17.54,0.3,Online Transfer
ORD-2024-01867,2024-12-08,Daniel Hughes,East,Sports,Boxing Gloves,85.8,1,41.41,0.0,Debit Card
ORD-2022-00583,2024-03-24,George Taylor,Central,Furniture,Ergonomic Office Chair,368.19,1,146.12,0.0,Online Transfer
ORD-2024-02081,2023-02-03,Aaron Taylor,East,Furniture,Coffee Table,296.75,2,65.17,0.2,Online Transfer
ORD-2023-00463,2022-09-26,Elizabeth Martin,South,Sports,Resistance Bands Set,31.06,1,8.67,0.1,Online Transfer
ORD-2023-01252,2021-06-05,Sandra Ramos,West,Sports,Football Soccer,66.55,2,24.21,0.1,Online Transfer
ORD-2021-00812,2024-11-28,Nicholas Jackson,West,Sports,Boxing Gloves,68.97,1,,0.1,Online Transfer
ORD-2024-02445,2022-08-13,Dorothy Powell,Central,Home & Kitchen,Robot Vacuum,398.23,1,64.02,0.2,Cash
ORD-2023-01160,2022-07-20,Jessica Patel,West,Furniture,Ergonomic Office Chair,642.82,2,158.25,0.1,Mobile Payment
ORD-2021-01932,2023-06-08,Christine Wilson,West,Furniture,Desk Lamp LED,139.48,2,49.54,0.0,Debit Card
ORD-2021-00062,2023-11-14,Paul Nelson,South,Sports,Tennis Racket,127.44,1,55.05,0.0,Cash
ORD-2024-01640,2022-07-13,Steven Kim,East,Clothing,Running Shoes,137.67,1,64.92,0.15,Cash
ORD-2024-00364,2021-02-16,Jonathan Wood,West,Furniture,Coffee Table,167.98,1,47.41,0.2,Debit Card
ORD-2021-01005,2022-03-29,Cynthia Gray,Central,Electronics,4K Ultra HD Monitor,740.2,1,186.63,0.05,Cash
ORD-2022-00957,2023-02-04,Brian Cooper,Central,Sports,Basketball,34.46,1,11.28,0.1,Online Transfer
ORD-2022-00629,2021-08-04,William Bennett,West,Sports,Football Soccer,27.86,1,11.18,0.15,Credit Card
ORD-2023-02130,2024-03-21,,South,Sports,Tennis Racket,202.77,2,58.83,0.1,Credit Card
ORD-2021-00798,2023-01-12,Rebecca Miller,Central,Sports,,27.88,1,9.53,0.15,Online Transfer
ORD-2021-02240,2024-04-23,Charles Roberts,South,Furniture,Storage Cabinet,658.36,2,233.36,0.0,Online Transfer
ORD-2024-01675,2024-03-12,Larry Nelson,Central,Home & Kitchen,Food Processor,121.47,1,49.23,0.0,Mobile Payment
ORD-2024-00004,2021-07-07,Michael Powell,Central,Furniture,Ergonomic Office Chair,649.38,2,215.27,0.0,Debit Card
ORD-2021-00165,2021-03-13,Heather Edwards,East,Electronics,Smart Watch,518.26,2,131.77,0.15,Credit Card
ORD-2024-00809,2022-03-03,Christine Ortiz,West,Electronics,Noise Cancelling Headphones,737.59,3,131.85,0.1,Credit Card
ORD-2021-01619,2024-08-20,Catherine Bell,South,Furniture,Coffee Table,145.73,1,,0.25,Online Transfer
ORD-2022-01352,2023-11-08,Anthony Alvarez,West,Clothing,Sports Shorts,28.03,1,10.06,0.15,Online Transfer
ORD-2022-01476,2022-03-19,Maria Thomas,East,Furniture,Conference Table,762.32,1,284.28,0.1,Credit Card
ORD-2024-02006,2021-08-27,Dorothy Williams,Central,Clothing,Sports Shorts,39.01,1,18.17,0.0,Debit Card
ORD-2024-02469,2023-08-26,Stephanie Gonzales,East,Sports,Swimming Goggles,54.68,2,22.07,0.0,Debit Card
ORD-2022-00370,2024-11-13,Dorothy Baker,South,Sports,Tennis Racket,233.34,2,81.7,0.2,Debit Card
ORD-2024-00642,2021-07-03,Lisa Lee,East,Home & Kitchen,Food Processor,242.68,2,,0.1,Credit Card
ORD-2024-00748,2022-05-08,Christine Wood,West,Furniture,TV Stand 60 inch,693.87,3,213.38,,Credit Card
ORD-2022-00081,2022-03-30,Deborah Barnes,Central,Electronics,4K Ultra HD Monitor,2094.96,3,607.14,0.1,Debit Card
ORD-2024-01412,2021-03-18,Dennis Wilson,West,Electronics,Noise Cancelling Headphones,613.53,3,157.29,0.15,Credit Card
ORD-2023-02150,2023-12-06,Elizabeth Lee,West,Sports,Fitness Tracker Band,64.37,1,27.24,0.0,Mobile Payment
ORD-2022-00015,2023-06-16,Steven Cruz,East,Furniture,Standing Desk Converter,454.68,2,140.41,0.15,Cash
ORD-2022-00847,2023-12-12,Jeffrey Campbell,South,Electronics,Portable Charger 20000mAh,110.97,2,29.61,0.1,Credit Card
ORD-2022-00367,2023-09-16,Ronald Collins,East,Clothing,Casual Dress Shirt,51.64,1,29.54,0.0,Credit Card
ORD-2022-01865,2024-04-10,,East,Home & Kitchen,Blender 1000W,219.82,2,65.9,0.2,Credit Card
ORD-2021-00158,2021-10-18,Jerry Jimenez,South,Clothing,Running Shoes,468.06,3,206.12,0.0,Credit Card
ORD-2023-01255,2022-10-04,Gregory Harris,East,Electronics,Webcam HD,83.78,1,14.67,0.1,Credit Card
ORD-2023-00518,2022-06-19,Heather Murphy,South,Home & Kitchen,Weighted Blanket,98.43,1,34.4,0.0,Cash
ORD-2022-02066,2021-05-22,Catherine Gonzales,East,Clothing,Men's Formal Shirt,53.37,1,23.5,0.0,Debit Card
ORD-2021-00790,2024-02-29,Ryan Ross,South,Home & Kitchen,Cookware Set 10pc,477.24,2,124.86,0.15,Mobile Payment
ORD-2023-00595,2021-08-07,Pamela Gray,East,Sports,Gym Bag,55.21,1,23.03,0.0,Debit Card
ORD-2022-01205,2021-12-07,Eric Diaz,South,Sports,Boxing Gloves,76.78,1,21.74,0.25,Credit Card
ORD-2023-01086,2024-11-21,Gregory Hernandez,Central,Clothing,Sneakers,103.86,1,43.58,0.0,Credit Card
ORD-2022-01079,2022-08-18,Jonathan Carter,South,Furniture,Office Desk - Wood,357.01,1,59.86,0.25,Mobile Payment
ORD-2024-00734,2022-09-05,Christine Carter,South,Clothing,Formal Trousers,53.48,1,26.46,0.15,Cash
ORD-2024-00965,2024-06-23,Jacob Ramos,South,Furniture,Desk Lamp LED,133.06,3,,0.3,Mobile Payment
ORD-2024-01225,2023-01-27,Virginia Cox,West,Home & Kitchen,Coffee Maker Drip,84.9,1,23.91,0.1,Credit Card
ORD-2021-01459,2021-08-01,Donald Brooks,West,Home & Kitchen,Cookware Set 10pc,253.54,1,,0.05,Credit Card
ORD-2022-00787,2023-07-06,Larry Hill,South,Clothing,Cotton T-Shirt,30.86,1,12.3,0.05,Online Transfer
ORD-2023-00558,2021-01-13,Brenda Chavez,West,Home & Kitchen,Blender 1000W,127.89,1,38.23,0.05,Cash
ORD-2023-01160,2022-07-20,Jessica Patel,West,Furniture,TV Stand 60 inch,171.02,1,21.64,0.2,Mobile Payment
ORD-2023-00952,2024-10-20,James Evans,East,Sports,Resistance Bands Set,115.71,3,44.74,0.05,Online Transfer
ORD-2024-00206,2021-07-02,Jose Rivera,East,Electronics,Wireless Earbuds,79.56,1,21.77,0.05,Debit Card
ORD-2023-02437,2022-09-19,Samuel Davis,South,Electronics,Noise Cancelling Headphones,218.91,1,53.7,0.15,Credit Card
ORD-2022-00947,2023-03-06,Karen Martinez,Central,Electronics,Webcam HD,203.26,2,60.51,0.0,Online Transfer
ORD-2022-02107,2022-10-17,Michael Cox,Central,Home & Kitchen,Toaster 4-Slice,120.12,2,32.93,0.05,Cash
ORD-2024-00152,2024-03-08,James Gutierrez,East,Furniture,Coffee Table,306.12,2,72.96,0.15,Cash
ORD-2021-01513,2021-05-15,Carolyn Morales,West,Home & Kitchen,Vacuum Cleaner Cordless,419.08,1,143.21,0.15,Online Transfer
ORD-2023-02235,2022-01-21,Kevin Davis,South,Furniture,Storage Cabinet,247.83,1,28.08,0.3,Cash
ORD-2024-02321,2024-11-24,Cynthia Taylor,South,Furniture,Filing Cabinet 3-Drawer,240.0,1,103.77,0.0,Cash
ORD-2022-01116,2022-04-23,Jonathan Edwards,West,Furniture,Desk Lamp LED,156.74,3,35.33,0.2,Cash
ORD-2022-01291,2024-08-07,Diane Walker,Central,Clothing,Leather Belt,39.69,1,18.47,0.0,Cash
ORD-2024-00255,2024-10-05,Samantha Castillo,East,Furniture,Conference Table,773.65,1,220.95,0.15,Debit Card
ORD-2021-01681,2024-05-30,Rebecca Lewis,South,Furniture,Ergonomic Office Chair,314.88,1,99.37,0.1,Cash
ORD-2023-01342,2022-06-14,Larry Kelly,West,Clothing,Running Shoes,280.96,2,137.13,0.1,Credit Card
ORD-2021-02258,2022-04-06,Gregory Jenkins,East,Electronics,Tablet 10 inch,413.2,1,164.66,0.0,Online Transfer
ORD-2022-01024,2022-09-29,Carolyn Sanchez,East,Home & Kitchen,Weighted Blanket,73.6,1,20.33,0.1,Debit Card
ORD-2021-01688,2024-05-19,Diane Flores,Central,Clothing,Sports Shorts,37.04,1,21.92,0.0,Credit Card
ORD-2024-01585,2022-03-06,Samantha Anderson,East,Furniture,Ergonomic Office Chair,331.27,1,66.15,0.2,Debit Card
ORD-2024-01325,2022-06-19,Amanda Clark,South,Electronics,Laptop - 13 inch,1352.48,1,296.0,0.05,Cash
ORD-2023-00339,2024-02-07,James Long,East,Electronics,Smart Watch,629.83,2,,0.05,Debit Card
ORD-2024-00833,2021-10-05,Scott Jackson,Central,Home & Kitchen,Robot Vacuum,413.75,1,81.54,0.15,Cash
ORD-2022-02057,2024-06-15,James Evans,South,Clothing,Leather Belt,138.74,3,79.01,0.05,Cash
ORD-2022-02043,2022-01-26,Maria Ortiz,West,Home & Kitchen,Blender 1000W,102.93,1,26.45,0.15,Debit Card
ORD-2023-01044,2024-10-08,Ashley Murphy,East,Electronics,Wireless Earbuds,79.44,1,12.8,0.15,Debit Card
ORD-2021-02357,2021-12-15,Gary Mitchell,East,Home & Kitchen,Electric Kettle 1.7L,43.79,1,7.78,0.2,Debit Card
ORD-2023-02314,2021-12-24,Tyler Jimenez,South,Furniture,Standing Desk Converter,592.36,2,162.48,0.1,Debit Card
ORD-2021-02200,2022-08-07,Andrew Collins,South,Electronics,External SSD 1TB,137.39,1,49.6,0.05,Online Transfer
ORD-2022-00462,2023-12-30,Joyce Walker,,Sports,Swimming Goggles,30.62,1,13.5,0.1,Mobile Payment
ORD-2021-01197,2024-10-31,Matthew Hill,East,Clothing,Running Shoes,302.52,2,150.62,0.0,Online Transfer
ORD-2023-00451,2022-02-24,Ashley Jackson,West,Electronics,4K Ultra HD Monitor,503.88,1,32.24,0.2,Mobile Payment
ORD-2023-01601,2023-11-05,Jack Kelly,Central,Furniture,Standing Desk Converter,288.73,1,120.09,0.0,Credit Card
ORD-2024-01567,2024-04-10,Nicholas Castillo,West,Clothing,Formal Trousers,59.2,1,18.48,0.15,Credit Card
ORD-2022-01344,2021-08-16,Anna Price,West,Sports,Resistance Bands Set,30.84,1,10.18,0.05,Online Transfer
ORD-2021-01041,2024-10-28,Matthew Howard,South,Home & Kitchen,Vacuum Cleaner Cordless,341.54,1,95.46,0.3,Mobile Payment
ORD-2021-01752,2024-03-22,Christine Murphy,West,Clothing,Men's Formal Shirt,54.48,1,24.15,0.05,Credit Card
ORD-2022-01441,2021-04-18,Jack Anderson,East,Home & Kitchen,Weighted Blanket,125.82,2,41.95,0.2,Debit Card
ORD-2024-00764,2024-03-04,Jacob Martinez,South,Furniture,TV Stand 60 inch,199.61,1,58.72,0.2,Credit Card
ORD-2023-00199,2024-12-03,Gregory Mitchell,South,Sports,Basketball,40.49,1,10.39,0.2,Cash
ORD-2021-00854,2024-11-23,Barbara Williams,South,Clothing,Formal Trousers,185.25,3,101.11,0.0,Credit Card
ORD-2021-01023,2021-01-14,Scott Wright,Central,Home & Kitchen,Coffee Maker Drip,118.56,1,55.79,0.0,Mobile Payment
ORD-2023-02131,2021-07-10,Patrick Russell,South,Home & Kitchen,,536.22,3,,0.1,Online Transfer
ORD-2023-01119,2024-05-23,Susan Diaz,South,Sports,Foam Roller,82.55,2,26.57,0.1,Online Transfer
ORD-2022-00139,2021-03-02,Kenneth Cruz,South,Sports,Yoga Mat Premium,100.44,2,35.15,0.1,Online Transfer
ORD-2021-00494,2022-08-16,Carolyn Edwards,West,Sports,Gym Bag,100.93,2,30.49,0.1,Mobile Payment
ORD-2021-02031,2021-07-05,Nicholas Wilson,West,Home & Kitchen,Throw Pillow Set,36.82,1,9.29,0.15,Online Transfer
ORD-2021-01729,2022-07-24,Kimberly Russell,East,Sports,Resistance Bands Set,33.88,1,10.71,0.15,Credit Card
ORD-2021-02159,2021-10-07,Andrew Brown,East,Electronics,External SSD 1TB,265.44,2,62.71,0.2,Debit Card
ORD-2023-01109,2024-04-29,Ronald Collins,East,Furniture,TV Stand 60 inch,474.81,2,138.26,0.05,Credit Card
ORD-2023-01180,2024-09-26,Robert Coleman,East,Sports,Dumbbells Set 20kg,206.67,1,80.19,0.0,Cash
ORD-2021-00007,2022-08-13,Brenda Johnson,Central,Furniture,Desk Lamp LED,62.88,1,18.86,0.05,Credit Card
ORD-2021-00830,2022-05-12,Catherine Nguyen,West,Clothing,Running Shoes,145.47,1,76.82,0.1,Debit Card
ORD-2021-02361,2023-03-11,Alexander Lopez,West,Sports,Fitness Tracker Band,65.16,1,21.43,0.2,Credit Card
ORD-2024-00490,2022-03-20,Jennifer Evans,East,Sports,Dumbbells Set 20kg,188.34,1,77.11,0.15,Online Transfer
ORD-2022-01790,2024-08-29,Amy King,West,Electronics,Webcam HD,94.86,1,20.49,0.15,Online Transfer
ORD-2023-01663,2023-12-21,Betty Wood,East,Electronics,Wireless Earbuds,182.0,2,63.07,0.05,Mobile Payment
ORD-2022-01996,2024-06-19,Matthew Hernandez,South,Home & Kitchen,Weighted Blanket,70.71,1,15.81,0.15,Credit Card
ORD-2023-01349,2022-09-25,Ashley Jones,West,Clothing,Sneakers,200.69,2,92.51,0.2,Credit Card
ORD-2024-01002,2024-05-14,Carol Ross,South,Electronics,Wireless Mouse,83.69,2,17.27,0.15,Credit Card
ORD-2022-02161,2022-10-05,James Rivera,Central,Home & Kitchen,Weighted Blanket,80.59,1,21.82,0.1,Online Transfer
ORD-2024-01814,2024-02-29,Sarah Rogers,East,Electronics,Tablet 10 inch,1013.8,3,220.47,0.15,Credit Card
ORD-2024-02430,2022-10-30,Dorothy Myers,Central,Furniture,Coffee Table,126.31,1,26.36,0.3,Debit Card
ORD-2021-01524,2023-02-04,Dorothy Powell,West,Sports,Resistance Bands Set,33.17,1,11.96,0.0,Debit Card
ORD-2023-00316,2023-08-18,Nathan Turner,West,Electronics,Webcam HD,147.2,2,37.97,0.15,Debit Card
ORD-2021-00954,2021-06-12,Benjamin Patel,South,Furniture,TV Stand 60 inch,190.63,1,,0.15,Cash
ORD-2023-00038,2022-04-25,Anna Lewis,South,Home & Kitchen,Weighted Blanket,71.93,1,17.64,0.15,Online Transfer
